Codes: K - kernel route, C - connected, L - local, S - static,
       R - RIPng, O - OSPFv3, I - IS-IS, B - BGP, N - NHRP,
       T - Table, v - VNC, V - VNC-Direct, A - Babel, F - PBR,
       f - OpenFabric, t - Table-Direct,
       > - selected route, * - FIB route, q - queued, r - rejected, b - backup
       t - trapped, o - offload failure

IPv6 unicast VRF default:
I>* fc00:20:7:8::/64 [115/50] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:22:05
I>* fc00:20:8::1/128 [115/50] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:22:05
I>* fc00:20:8:9::/64 [115/40] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:22:00
I>* fc00:20:9::/64 [115/40] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:22:00
I>* fc00:20:9::1/128 [115/40] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:22:00
S>* fc00:21::/43 [1/0] unreachable (blackhole), weight 1, 12:26:15
I>* fc00:21::1/128 [115/40] via fe80::6454:8fff:fe9c:6ce7, r30n0-r31n0, weight 1, 12:22:00
I>* fc00:21:0:1::/64 [115/50] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:21:55
I>* fc00:21:1::1/128 [115/50] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:21:55
I>* fc00:21:1:2::/64 [115/50] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:21:55
I>* fc00:21:2::1/128 [115/60] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:22:00
I>* fc00:21:2:3::/64 [115/60] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:22:00
I>* fc00:21:3::1/128 [115/70] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:22:01
I>* fc00:21:3:4::/64 [115/70] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:22:01
I>* fc00:21:4::1/128 [115/80] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:22:01
I>* fc00:21:4:5::/64 [115/80] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:22:01
I>* fc00:21:5::1/128 [115/90] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:21:58
  *                           via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:21:58
I>* fc00:21:5:6::/64 [115/80] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:21:58
I>* fc00:21:6::1/128 [115/80] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:21:58
I>* fc00:21:6:7::/64 [115/70] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:21:58
I>* fc00:21:7::1/128 [115/70] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:21:58
I>* fc00:21:7:8::/64 [115/60] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:21:58
I>* fc00:21:8::1/128 [115/60] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:21:58
I>* fc00:21:8:9::/64 [115/50] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:21:47
I>* fc00:21:9::/64 [115/50] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:21:47
I>* fc00:21:9::1/128 [115/50] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:21:47
S>* fc00:22::/43 [1/0] unreachable (blackhole), weight 1, 12:26:15
I>* fc00:22::1/128 [115/50] via fe80::6454:8fff:fe9c:6ce7, r30n0-r31n0, weight 1, 12:21:47
I>* fc00:22:0:1::/64 [115/60] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:21:49
I>* fc00:22:1::1/128 [115/60] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:21:49
I>* fc00:22:1:2::/64 [115/60] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:21:49
I>* fc00:22:2::1/128 [115/70] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:21:49
I>* fc00:22:2:3::/64 [115/70] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:21:49
I>* fc00:22:3::1/128 [115/80] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:21:50
I>* fc00:22:3:4::/64 [115/80] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:21:50
I>* fc00:22:4::1/128 [115/90] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:21:52
I>* fc00:22:4:5::/64 [115/90] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:21:52
I>* fc00:22:5::1/128 [115/100] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:21:56
  *                            via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:21:56
I>* fc00:22:5:6::/64 [115/90] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:21:47
I>* fc00:22:6::1/128 [115/90] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:21:47
I>* fc00:22:6:7::/64 [115/80] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:21:47
I>* fc00:22:7::1/128 [115/80] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:21:47
I>* fc00:22:7:8::/64 [115/70] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:21:47
I>* fc00:22:8::1/128 [115/70] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:21:47
I>* fc00:22:8:9::/64 [115/60] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:21:47
I>* fc00:22:9::/64 [115/60] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:21:47
I>* fc00:22:9::1/128 [115/60] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:21:47
S>* fc00:23::/43 [1/0] unreachable (blackhole), weight 1, 12:26:15
I>* fc00:23::1/128 [115/60] via fe80::6454:8fff:fe9c:6ce7, r30n0-r31n0, weight 1, 12:21:46
I>* fc00:23:0:1::/64 [115/70] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:21:49
I>* fc00:23:1::1/128 [115/70] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:21:49
I>* fc00:23:1:2::/64 [115/70] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:21:49
I>* fc00:23:2::1/128 [115/80] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:21:49
I>* fc00:23:2:3::/64 [115/80] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:21:49
I>* fc00:23:3::1/128 [115/90] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:21:50
I>* fc00:23:3:4::/64 [115/90] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:21:50
I>* fc00:23:4::1/128 [115/100] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:21:51
I>* fc00:23:4:5::/64 [115/100] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:21:51
I>* fc00:23:5::1/128 [115/110] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:21:47
  *                            via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:21:47
I>* fc00:23:5:6::/64 [115/100] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:21:47
I>* fc00:23:6::1/128 [115/100] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:21:47
I>* fc00:23:6:7::/64 [115/90] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:21:47
I>* fc00:23:7::1/128 [115/90] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:21:47
I>* fc00:23:7:8::/64 [115/80] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:21:40
I>* fc00:23:8::1/128 [115/80] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:21:40
I>* fc00:23:8:9::/64 [115/70] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:21:40
I>* fc00:23:9::/64 [115/70] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:21:40
I>* fc00:23:9::1/128 [115/70] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:21:40
S>* fc00:24::/43 [1/0] unreachable (blackhole), weight 1, 12:26:15
I>* fc00:24::1/128 [115/70] via fe80::6454:8fff:fe9c:6ce7, r30n0-r31n0, weight 1, 12:21:46
I>* fc00:24:0:1::/64 [115/80] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:21:49
I>* fc00:24:1::1/128 [115/80] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:21:49
I>* fc00:24:1:2::/64 [115/80] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:21:49
I>* fc00:24:2::1/128 [115/90] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:21:49
I>* fc00:24:2:3::/64 [115/90] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:21:49
I>* fc00:24:3::1/128 [115/100] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:21:49
I>* fc00:24:3:4::/64 [115/100] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:21:49
I>* fc00:24:4::1/128 [115/110] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:21:49
I>* fc00:24:4:5::/64 [115/110] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:21:49
I>* fc00:24:5::1/128 [115/120] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:21:43
  *                            via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:21:43
I>* fc00:24:5:6::/64 [115/110] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:21:43
I>* fc00:24:6::1/128 [115/110] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:21:43
I>* fc00:24:6:7::/64 [115/100] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:21:43
I>* fc00:24:7::1/128 [115/100] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:21:43
I>* fc00:24:7:8::/64 [115/90] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:21:36
I>* fc00:24:8::1/128 [115/90] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:21:36
I>* fc00:24:8:9::/64 [115/80] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:21:36
I>* fc00:24:9::/64 [115/80] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:21:36
I>* fc00:24:9::1/128 [115/80] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:21:36
S>* fc00:25::/43 [1/0] unreachable (blackhole), weight 1, 12:26:15
I>* fc00:25::1/128 [115/80] via fe80::6454:8fff:fe9c:6ce7, r30n0-r31n0, weight 1, 12:21:39
I>* fc00:25:0:1::/64 [115/90] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:21:40
I>* fc00:25:1::1/128 [115/90] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:21:40
I>* fc00:25:1:2::/64 [115/90] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:21:40
I>* fc00:25:2::1/128 [115/100] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:21:40
I>* fc00:25:2:3::/64 [115/100] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:21:40
I>* fc00:25:3::1/128 [115/110] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:21:40
I>* fc00:25:3:4::/64 [115/110] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:21:40
I>* fc00:25:4::1/128 [115/120] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:21:40
I>* fc00:25:4:5::/64 [115/120] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:21:40
I>* fc00:25:5::1/128 [115/130] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:21:40
  *                            via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:21:40
